LAST SEEN   TYPE      REASON              OBJECT                           MESSAGE
41s         Normal    Scheduled           pod/shop-web-67c45748fb-h4jgc    Successfully assigned helm-demo/shop-web-67c45748fb-h4jgc to taracode-evals-worker
24s         Normal    Pulling             pod/shop-web-67c45748fb-h4jgc    Pulling image "nginx:1.99.99-nope"
24s         Warning   Failed              pod/shop-web-67c45748fb-h4jgc    Failed to pull image "nginx:1.99.99-nope": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:1.99.99-nope": failed to resolve reference "docker.io/library/nginx:1.99.99-nope": docker.io/library/nginx:1.99.99-nope: not found
24s         Warning   Failed              pod/shop-web-67c45748fb-h4jgc    Error: ErrImagePull
10s         Normal    BackOff             pod/shop-web-67c45748fb-h4jgc    Back-off pulling image "nginx:1.99.99-nope"
10s         Warning   Failed              pod/shop-web-67c45748fb-h4jgc    Error: ImagePullBackOff
41s         Normal    SuccessfulCreate    replicaset/shop-web-67c45748fb   Created pod: shop-web-67c45748fb-h4jgc
41s         Normal    Scheduled           pod/shop-web-8f84c974-7vtvz      Successfully assigned helm-demo/shop-web-8f84c974-7vtvz to taracode-evals-worker
41s         Normal    Pulled              pod/shop-web-8f84c974-7vtvz      Container image "nginx:1.27-alpine" already present on machine and can be accessed by the pod
41s         Normal    Created             pod/shop-web-8f84c974-7vtvz      Container created
41s         Normal    Started             pod/shop-web-8f84c974-7vtvz      Container started
41s         Warning   Unhealthy           pod/shop-web-8f84c974-7vtvz      Readiness probe failed: Get "http://10.244.1.34:80/": dial tcp 10.244.1.34:80: connect: connection refused
41s         Normal    SuccessfulCreate    replicaset/shop-web-8f84c974     Created pod: shop-web-8f84c974-7vtvz
41s         Normal    ScalingReplicaSet   deployment/shop-web              Scaled up replica set shop-web-8f84c974 from 0 to 1
41s         Normal    ScalingReplicaSet   deployment/shop-web              Scaled up replica set shop-web-67c45748fb from 0 to 1
