NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                MESSAGE
default       2s          Normal    NodeNotReady              node/taracode-evals-worker            Node taracode-evals-worker status is now: NodeNotReady
default       28m         Normal    Starting                  node/taracode-evals-worker            Starting kubelet.
default       28m         Normal    NodeAllocatableEnforced   node/taracode-evals-worker            Updated Node Allocatable limit across pods
default       28m         Normal    NodeHasSufficientMemory   node/taracode-evals-worker            Node taracode-evals-worker status is now: NodeHasSufficientMemory
default       28m         Normal    NodeHasNoDiskPressure     node/taracode-evals-worker            Node taracode-evals-worker status is now: NodeHasNoDiskPressure
default       28m         Normal    NodeHasSufficientPID      node/taracode-evals-worker            Node taracode-evals-worker status is now: NodeHasSufficientPID
default       28m         Normal    NodeReady                 node/taracode-evals-worker            Node taracode-evals-worker status is now: NodeReady
kube-system   2s          Warning   NodeNotReady              pod/kindnet-nwdkc                     Node is not ready
kube-system   2s          Warning   NodeNotReady              pod/kube-proxy-rdkl9                  Node is not ready
platform      55s         Normal    Scheduled                 pod/metrics-agent-767dd6b94f-275mv    Successfully assigned platform/metrics-agent-767dd6b94f-275mv to taracode-evals-worker
platform      54s         Normal    Pulled                    pod/metrics-agent-767dd6b94f-275mv    Container image "busybox:1.37" already present on machine and can be accessed by the pod
platform      54s         Normal    Created                   pod/metrics-agent-767dd6b94f-275mv    Container created
platform      54s         Normal    Started                   pod/metrics-agent-767dd6b94f-275mv    Container started
platform      2s          Warning   NodeNotReady              pod/metrics-agent-767dd6b94f-275mv    Node is not ready
platform      55s         Normal    SuccessfulCreate          replicaset/metrics-agent-767dd6b94f   Created pod: metrics-agent-767dd6b94f-275mv
platform      55s         Normal    ScalingReplicaSet         deployment/metrics-agent              Scaled up replica set metrics-agent-767dd6b94f from 0 to 1
web           59s         Normal    Scheduled                 pod/storefront-5996978c75-dsqkp       Successfully assigned web/storefront-5996978c75-dsqkp to taracode-evals-worker
web           59s         Normal    Pulling                   pod/storefront-5996978c75-dsqkp       Pulling image "nginx:1.99.99-does-not-exist"
web           58s         Warning   Failed                    pod/storefront-5996978c75-dsqkp       Failed to pull image "nginx:1.99.99-does-not-exist": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:1.99.99-does-not-exist": failed to resolve reference "docker.io/library/nginx:1.99.99-does-not-exist": docker.io/library/nginx:1.99.99-does-not-exist: not found
web           58s         Warning   Failed                    pod/storefront-5996978c75-dsqkp       Error: ErrImagePull
web           58s         Normal    BackOff                   pod/storefront-5996978c75-dsqkp       Back-off pulling image "nginx:1.99.99-does-not-exist"
web           58s         Warning   Failed                    pod/storefront-5996978c75-dsqkp       Error: ImagePullBackOff
web           59s         Normal    SuccessfulCreate          replicaset/storefront-5996978c75      Created pod: storefront-5996978c75-dsqkp
web           59s         Normal    ScalingReplicaSet         deployment/storefront                 Scaled up replica set storefront-5996978c75 from 0 to 1
