NAMESPACE            NAME                                                   READY   STATUS        RESTARTS      AGE
kube-system          coredns-559f6c778d-977m4                               1/1     Running       0             6h11m
kube-system          coredns-559f6c778d-n42s4                               1/1     Running       0             6h11m
kube-system          etcd-taracode-evals-control-plane                      1/1     Running       0             6h11m
kube-system          kindnet-6f57p                                          1/1     Running       0             6h11m
kube-system          kindnet-nwdkc                                          1/1     Running       0             6h11m
kube-system          kube-apiserver-taracode-evals-control-plane            1/1     Running       0             6h11m
kube-system          kube-controller-manager-taracode-evals-control-plane   1/1     Running       0             6h11m
kube-system          kube-proxy-745bt                                       1/1     Running       0             6h11m
kube-system          kube-proxy-rdkl9                                       1/1     Running       0             6h11m
kube-system          kube-scheduler-taracode-evals-control-plane            1/1     Running       0             6h11m
local-path-storage   local-path-provisioner-75f7fc7dc5-zbbzm                1/1     Running       0             6h11m
platform             metrics-agent-767dd6b94f-275mv                         1/1     Terminating   0             88s
shop                 checkout-7d5ff6f675-8ldcf                              0/1     OOMKilled     2 (15s ago)   16s
